fid,FIRED_ID,GID,INCIDENT_ID,INCIDENT_NUMBER,INCIDENT_NAME,INCTYP_ABBREVIATION,FINAL_ACRES,CAUSE,COMPLEX,DISCOVERY_DATE,DISCOVERY_DOY,EXPECTED_CONTAINMENT_DATE,FATALITIES,FUEL_MODEL,INCIDENT_DESCRIPTION,INC_IDENTIFIER,INJURIES_TOTAL,LL_CONFIDENCE,LL_UPDATE,LOCAL_TIMEZONE,POO_CITY,POO_COUNTY,POO_SHORT_LOCATION_DESC,POO_STATE,PROJECTED_FINAL_IM_COST,START_YEAR,SUPPRESSION_METHOD,STR_DAMAGED_TOTAL,STR_DAMAGED_COMM_TOTAL,STR_DAMAGED_RES_TOTAL,STR_DESTROYED_TOTAL,STR_DESTROYED_COMM_TOTAL,STR_DESTROYED_RES_TOTAL,FATALITIES_RESPONDER,FATALITIES_PUBLIC,FINAL_REPORT_DATE,INCIDENT_ID_OLD,INC_MGMT_NUM_SITREPS,PEAK_EVACUATIONS,STR_THREATENED_MAX,STR_THREATENED_COMM_MAX,STR_THREATENED_RES_MAX,TOTAL_AERIAL_SUM,TOTAL_PERSONNEL_SUM,WF_PEAK_AERIAL,WF_PEAK_AERIAL_DATE,WF_PEAK_AERIAL_DOY,WF_PEAK_PERSONNEL,WF_PEAK_PERSONNEL_DATE,WF_PEAK_PERSONNEL_DOY,WF_CESSATION_DATE,WF_CESSATION_DOY,WF_MAX_FSR,WF_MAX_GROWTH_DATE,WF_MAX_GROWTH_DOY,WF_GROWTH_DURATION,SUP_SERIES,SUP_METHOD_INITIAL,SUP_METHOD_FINAL,SUP_PERCENT_FS,FOD_ID_LIST,FOD_FIRE_NUM,MTBS_FIRE_LIST,FOD_DISCOVERY_DOY,FOD_CONTAIN_DOY,FOD_CAUSE,FOD_FINAL_ACRES,FOD_FIRE_LIST,FOD_COORD_LIST,FOD_CAUSE_NUM,FOD_COORD_NUM,MTBS_FIRE_NUM,LRGST_FOD_ID,LRGST_FOD_LATITUDE,LRGST_FOD_LONGITUDE,LRGST_MTBS_FIRE_INFO,LRGST_FOD_COORDS,POO_LONGITUDE,POO_LATITUDE,STUSPS,Event_ID,Incid_Name,MTBS_Ig_Date,MTBS_Ig_Year,MTBS_Ig_Month,BurnBndAc,MTBS_ACRE_DIFF,MTBS_PERC_DIFF,MTBS_DATE_DIFF,ig_date,ig_day,ig_month,ig_year,last_date,event_dur,tot_pix,tot_ar_km2,fsr_px_dy,fsr_km2_dy,mx_grw_px,mn_grw_px,mu_grw_px,mx_grw_km2,mn_grw_km2,mu_grw_km2,mx_grw_dte,ig_utm_x,ig_utm_y,tot_perim,tot_ar_ac,FIRED_ACRE_DIFF,FIRED_DATE_DIFF,FIRED_PERC_DIFF,PREDICTED_ACRES,mx_grw_ha,tot_ar_ha,mx_grw_pct
"11",45519,9268,2006_NV-EKD-001211_SHEEP,NV-EKD-001211,SHEEP,WF,150270,L,false,2006/09/03 20:00:00+00,246,2006-09-10 17:00:00,0,Short Grass (1 foot),,,0,,,,,Elko,25 miles Northeast of Battle Mountain,NV,1128216,2006,,0,0,0,0,0,0,,,2006/09/17 16:50:00+00,,14,,90,50,10,,596,,2006/09/04 19:30:00+00,247,211,2006/09/08 17:30:00+00,251,2006/09/07 18:43:00+00,250,77000,2006/09/05 19:01:00+00,248,4,"[nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan]",,,0,[342408],1,['NV4104111664720060903-SHEEP'],246,253,['Natural'],150270.7,"[{'ID': 342408, 'MTBS_ID': 'NV4104111664720060903(SHEEP)', 'COORDS': (40.8258, -116.7203), 'CAUSE': 'Natural', 'SIZE': 150270.7, 'DISC': 246, 'CONT': 253.0}]","[(40.8258, -116.7203)]",1,1,1,342408,40.8258,-116.7203,NV4104111664720060903(SHEEP),"(40.8258, -116.7203)",-116.649722,40.910833,NV,NV4104111664720060903,SHEEP,2006/09/03,2006,9,153120,2850,1.86128526645768,0.833333333333333,2006-09-04,247,9,2006,2006-09-16,13,2707,581.081028613565,208.230769230769,44.6985406625819,1131,1,835.922792759512,242.778959498316,0.214658673296478,179.438077672043,2006-09-06,-9774276.72422319,4569421.66675258,306673.018341476,143588.027575555,9531.97242444509,0.333333333333333,6.22516485400019,167388.40926941,24277.8959498316,58108.1028613565,41.7805688954562
"12",51541,12293,2007_UT-SWS-070312_MILFORD FLAT,UT-SWS-070312,MILFORD FLAT,WF,363052,L,false,2007/07/06 15:45:00+00,187,2007-07-19,2,Short Grass (1 foot),,,1,,,,,Beaver/Millard,Approximately 3 miles north of Milford  Utah,UT,5050000,2007,,5,0,0,2,0,0,,,2007/08/03 11:50:00+00,,15,,330,30,100,25,4421,4,2007/07/11 18:10:00+00,192,563,2007/07/13 19:30:00+00,194,2007/07/12 19:00:00+00,193,153000,2007/07/07 19:30:00+00,188,6,"[nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan]",,,0,[353807],1,['UT3868911273920070706-MILFORD FLAT'],187,215,['Natural'],357185,"[{'ID': 353807, 'MTBS_ID': 'UT3868911273920070706(MILFORD FLAT)', 'COORDS': (38.5756, -112.9731), 'CAUSE': 'Natural', 'SIZE': 357185.0, 'DISC': 187, 'CONT': 215.0}]","[(38.5756, -112.9731)]",1,1,1,353807,38.5756,-112.9731,UT3868911273920070706(MILFORD FLAT),"(38.5756, -112.9731)",-112.973056,38.41,UT,UT3868911273920070706,MILFORD FLAT,2007/07/06,2007,7,348772,14280,4.09436537336713,0.65625,2007-07-06,187,7,2007,2007-07-21,16,4983,1069.64416903635,311.4375,66.8527605647717,2714,1,1989.21954645796,582.58363932664,0.214658673296478,427.003228738086,2007-07-08,-9793735.85831737,4297457.10215069,606819.658651523,264314.422389727,84457.5776102734,0.489583333333333,24.2156989696058,307762.406723065,58258.363932664,106964.416903635,54.4651816174995
"13",54525,10739,2007_CA-MVU-010432_WITCH,CA-MVU-010432,WITCH,WF,197990,H,false,2007/10/21 12:35:00+00,294,2007-10-31,2,Timber (Grass and Understory),,,40,,,,,San Diego,Rancho Santa Fe to east of Ramona,CA,18000000,2007,,95,10,77,1680,30,1141,,,2007/11/06 18:00:00+00,,29,,6800,1500,5000,2,46819,1,2007/10/21 14:30:00+00,294,3031,2007/10/27 06:00:00+00,300,2007/10/23 18:00:00+00,296,135000,2007/10/22 18:00:00+00,295,2,"[nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan]",,,0,[26492],1,['CA3307911676620071021-WITCH'],294,304,['Power generation/transmission/distribution'],197990,"[{'ID': 26492, 'MTBS_ID': 'CA3307911676620071021(WITCH)', 'COORDS': (33.07444444, -116.7111111), 'CAUSE': 'Power generation/transmission/distribution', 'SIZE': 197990.0, 'DISC': 294, 'CONT': 304.0}]","[(33.07444444, -116.7111111)]",1,1,1,26492,33.07444444,-116.7111111,CA3307911676620071021(WITCH),"(33.07444444, -116.7111111)",-117.216389,33.118056,CA,CA3307911676620071021,WITCH,2007/10/21,2007,10,167551,30439,18.1670058668704,0.524305555555556,2007-10-14,287,10,2007,2007-11-01,19,3815,818.922838626062,200.78947368421,43.1012020329506,1800,3,1190.21153342071,386.38561193366,0.643976019889433,255.489228706255,2007-10-23,-10869547.9860952,3693760.63251482,527161.871408707,202359.928038693,34808.928038693,7.35763888888889,20.7751240151912,235725.135622068,38638.561193366,81892.2838626062,47.1821756225426
"14",54570,10738,2007_CA-MVU-010427_HARRIS,CA-MVU-010427,HARRIS,WF,90440,U,false,2007/10/21 09:30:00+00,294,2007-10-31,0,Brush (2 feet),,,40,,,,,SAN DIEGO,HARRIS RANCH RD & HWY 94  POTRERO,CA,21000000,2007,,19,4,12,548,2,253,,,2007/11/10 18:00:00+00,,29,,2500,500,2000,153,40104,8,2007/10/28 18:00:00+00,301,2544,2007/10/27 18:00:00+00,300,2007/10/27 18:00:00+00,300,48000,2007/10/23 06:00:00+00,296,6,"[nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan]",,,0,[383904],1,['CA3264611677120071021-HARRIS'],294,304,['Recreation and ceremony'],90440,"[{'ID': 383904, 'MTBS_ID': 'CA3264611677120071021(HARRIS)', 'COORDS': (32.608768, -116.577142), 'CAUSE': 'Recreation and ceremony', 'SIZE': 90440.0, 'DISC': 294, 'CONT': 304.0}]","[(32.608768, -116.577142)]",1,1,1,383904,32.608768,-116.577142,CA3264611677120071021(HARRIS),"(32.608768, -116.577142)",-116.584722,32.591111,CA,CA3264611677120071021,HARRIS,2007/10/21,2007,10,90443,3,0.00331700629125527,0.395833333333333,2007-10-16,289,10,2007,2007-11-01,17,1683,361.270547157972,99,21.2512086563513,714,1,483.925727866904,153.266292733685,0.214658673296478,103.878854717942,2007-10-23,-10932095.2028265,3634919.91751577,213107.849602863,89271.7585554706,1171.24144452941,5.22916666666667,1.29500508002766,104232.445564427,15326.6292733685,36127.0547157972,42.4242424242424
"15",56624,13980,2008_TX-TXS-88071_GLASS FIRE,TX-TXS-88071,GLASS FIRE,WF,219556,H,false,2008/02/25 12:20:00+00,56,,0,Tall Grass (2.5 feet),,,0,,,,,Sterling,5mi SW of Sterling City,TX,,2008,FS,0,0,0,0,0,0,,,2008/03/02 18:00:00+00,,7,,50,,50,8,56,4,2008/02/26 19:00:00+00,57,21,2008/02/27 19:00:00+00,58,2008/02/26 19:00:00+00,57,140000,2008/02/25 18:00:00+00,56,1,"['FS', 'FS', 'FS', 'FS', 'FS', 'FS', 'FS']",FS,FS,100,[706908],1,['TX3160710111020080225-GLASS'],56,60,['Missing data/not specified/undetermined'],220000,"[{'ID': 706908, 'MTBS_ID': 'TX3160710111020080225(GLASS)', 'COORDS': (31.74216, -101.0438), 'CAUSE': 'Missing data/not specified/undetermined', 'SIZE': 220000.0, 'DISC': 56, 'CONT': 60.0}]","[(31.74216, -101.0438)]",1,1,1,706908,31.74216,-101.0438,TX3160710111020080225(GLASS),"(31.74216, -101.0438)",-101.029444,31.773333,TX,TX3160710111020080225,GLASS,2008/02/25,2008,2,196945,22611,11.4808702937368,0.513888888888889,2008-02-25,56,2,2008,2008-02-29,5,3164,679.180042310055,632.8,135.836008462011,2701,5,2356.55562579014,579.793076573786,1.07329336648239,505.855104181462,2008-02-27,-9563469.43820299,3524651.49098213,365074.420623999,167828.784355026,29116.2156449739,0.305555555555556,14.7839323897402,195574.225102591,57979.3076573786,67918.0042310055,85.3666245259166
"16",57410,14045,2008_TX-TXS-88138_BURNS RANCH,TX-TXS-88138,BURNS RANCH,WF,25600,O,false,2008/03/18 22:13:00+00,78,,0,Tall Grass (2.5 feet),,,0,,,,,Hidalgo,2 miles N of San Manuel  TX,TX,,2008,FS,0,0,0,4,0,2,,,2008/03/23 18:00:00+00,,5,,125,,125,2,49,2,2008/03/19 18:00:00+00,79,25,2008/03/19 18:00:00+00,79,2008/03/19 18:00:00+00,79,25600,2008/03/19 18:00:00+00,79,1,"['FS', 'FS', 'FS', 'FS', 'FS']",FS,FS,100,[707243],1,['TX2671309823220080318-BURNS RANCH FIRE'],78,82,['Missing data/not specified/undetermined'],25600,"[{'ID': 707243, 'MTBS_ID': 'TX2671309823220080318(BURNS RANCH FIRE)', 'COORDS': (26.55495, -98.12082), 'CAUSE': 'Missing data/not specified/undetermined', 'SIZE': 25600.0, 'DISC': 78, 'CONT': 82.0}]","[(26.55495, -98.12082)]",1,1,1,707243,26.55495,-98.12082,TX2671309823220080318(BURNS RANCH FIRE),"(26.55495, -98.12082)",-98.120556,26.591944,TX,TX2671309823220080318,BURNS RANCH FIRE,2008/03/18,2008,3,58395,32795,56.160630190941,0.925694444444444,2008-03-18,78,3,2008,2008-03-23,6,1081,232.046025833492,180.166666666667,38.6743376389154,944,2,837.762257169288,202.637787591875,0.429317346592955,179.832934661822,2008-03-20,-9763620.53174305,2970992.79473127,95450.4196047485,57339.7332135851,1055.2667864149,0.759027777777778,1.80711839440859,67103.6465894266,20263.7787591875,23204.6025833492,87.3265494912118
"17",58707,14098,2008_TX-TXS-88190_HUCKABEE,TX-TXS-88190,HUCKABEE,WF,98200,U,false,2008/04/30 17:32:00+00,121,,0,Tall Grass (2.5 feet),,,2,,,,,Pecos,30 miles SE of Fort Stockton  off Hwy 285,TX,,2008,FS,0,0,0,1,0,0,,,2008/05/08 18:00:00+00,,9,,142,100,12,9,447,3,2008/05/03 18:00:00+00,124,126,2008/05/03 18:00:00+00,124,2008/05/03 18:00:00+00,124,43700,2008/05/02 18:00:00+00,123,3,"['FS', 'FS', 'FS', 'FS', 'FS', 'FS', 'FS', 'FS', 'FS']",FS,FS,100,[707282],1,['TX3067110235120080430-HUCKABEE'],121,124,['Missing data/not specified/undetermined'],98168,"[{'ID': 707282, 'MTBS_ID': 'TX3067110235120080430(HUCKABEE)', 'COORDS': (30.63117, -101.5342), 'CAUSE': 'Missing data/not specified/undetermined', 'SIZE': 98168.0, 'DISC': 121, 'CONT': 124.0}]","[(30.63117, -101.5342)]",1,1,1,707282,30.63117,-101.5342,TX3067110235120080430(HUCKABEE),"(30.63117, -101.5342)",-102.471389,30.601944,TX,TX3067110235120080430,HUCKABEE,2008/04/30,2008,4,84897,13303,15.6695760745374,0.730555555555556,2008-04-28,119,4,2008,2008-05-08,11,1406,301.810094654847,127.818181818182,27.4372813322589,748,2,589.520625889047,160.564687625765,0.429317346592955,126.545715434252,2008-05-03,-9794662.48375042,3408359.99913362,166776.577950043,74578.7834396861,10318.2165603139,2.56388888888889,12.1538058592341,87148.2639762622,16056.4687625765,30181.0094654847,53.2005689900427
"18",69167,15438,2009_NM-ROD-015_CATO,NM-ROD-015,CATO,WF,55080,L,false,2009/06/10 08:40:00+00,161,2009-06-13,0,Tall Grass (2.5 feet),,,0,,,,,Chaves,Estimated 40 miles East of Roswell  NM.,NM,460000,2009,FS,0,0,0,0,0,0,,,2009/06/13 13:55:00+00,,4,,8,1,3,3,228,1,2009/06/11 16:44:00+00,162,94,2009/06/11 16:44:00+00,162,2009/06/11 16:44:00+00,162,49080,2009/06/11 16:44:00+00,162,1,"['FS', 'FS', 'FS', 'FS']",FS,FS,100,[1300203],1,['NM3353010381320090610-CATO'],161,166,['Natural'],55080,"[{'ID': 1300203, 'MTBS_ID': 'NM3353010381320090610(CATO)', 'COORDS': (33.504721999999994, -103.728611), 'CAUSE': 'Natural', 'SIZE': 55080.0, 'DISC': 161, 'CONT': 166.0}]","[(33.504721999999994, -103.728611)]",1,1,1,1300203,33.504722,-103.728611,NM3353010381320090610(CATO),"(33.504721999999994, -103.728611)",-103.728611,33.504722,NM,NM3353010381320090610,CATO,2009/06/10,2009,6,53730,1350,2.51256281407035,0.361111111111111,2009-06-08,159,6,2009,2009-06-14,7,944,202.637787591875,134.857142857143,28.9482553702678,726,1,584.989406779661,155.842196813243,0.214658673296478,125.573049951815,2009-06-12,-9631113.09481607,3721096.08278996,115812.17913197,50072.8105028902,3657.18949710978,2.19444444444444,6.80660617366421,58654.0694140528,15584.2196813243,20263.7787591875,76.9067796610169
"19",71376,14644,2009_CA-ANF-003622_STATION,CA-ANF-003622,STATION,WF,160577,H,false,2009/08/26 15:20:00+00,238,2009-10-16,0,Chaparral (6 feet),,,23,,,,,Los Angeles,4 miles north of La Canada on SR2 - Angeles Crest Hwy,CA,95510000,2009,FS,57,22,13,209,26,89,,,2010/03/04 17:00:00+00,,104,,12500,500,10000,783,147122,23,2009/09/09 18:00:00+00,252,5244,2009/09/04 18:00:00+00,247,2009/09/04 18:00:00+00,247,43260,2009/08/31 06:00:00+00,243,9,"['FS', 'FS', 'FS', 'FS', 'FS', 'FS', 'FS', 'FS', 'FS', 'FS', 'FS', 'FS', 'FS', 'FS', 'FS', 'FS', 'FS', 'FS', 'FS', 'FS', 'FS', 'FS', 'FS', 'FS', 'FS', 'FS', 'FS', 'FS', 'FS', 'FS', 'FS', 'FS', 'FS', 'FS', 'FS', 'FS', 'FS', 'FS', 'FS', 'FS', 'FS', 'FS', 'FS', 'FS', 'FS', 'FS', 'FS', 'FS', 'FS', 'FS', 'FS', 'FS', 'FS', 'FS', 'FS', 'FS', 'FS', 'FS', 'FS', 'FS', 'FS', 'FS', 'FS', 'FS', 'FS', 'FS', 'FS', 'FS', 'FS', 'FS', 'FS', 'FS', 'FS', 'FS', 'FS', 'FS', 'FS', 'FS', 'FS', 'FS', 'FS', 'FS', 'FS', 'FS', 'FS', 'FS', 'FS', 'FS', 'FS', 'FS', 'FS', 'FS', 'FS', 'FS', 'FS', 'FS', 'FS', 'FS', 'FS', 'FS', 'FS', 'FS', 'FS', 'FS']",FS,FS,9.61538461538462,[41500],1,['CA3432711813620090826-STATION'],238,265,['Arson/incendiarism'],160371,"[{'ID': 41500, 'MTBS_ID': 'CA3432711813620090826(STATION)', 'COORDS': (34.2425, -118.1888889), 'CAUSE': 'Arson/incendiarism', 'SIZE': 160371.0, 'DISC': 238, 'CONT': 265.0}]","[(34.2425, -118.1888889)]",1,1,1,41500,34.2425,-118.1888889,CA3432711813620090826(STATION),"(34.2425, -118.1888889)",-118.194722,34.251111,CA,CA3432711813620090826,STATION,2009/08/26,2009,8,165368,4791,2.89717478593198,0.638888888888889,2009-08-25,237,8,2009,2009-09-13,20,3037,651.918390801402,151.85,32.5959195400701,847,1,544.679288771814,181.815896282116,0.214658673296478,116.920133499827,2009-09-01,-10855648.6045994,3818855.06597735,232566.983697017,161092.29395898,4275.70604101953,1.47222222222222,2.58557038908345,187741.405385274,18181.5896282116,65191.8390801402,27.8893645044452
"20",77218,16716,2010_ID-INE-010010_JEFFERSON,ID-INE-010010,JEFFERSON,WF,109436,H,false,2010/07/13 14:30:00+00,194,2010-07-15,0,Brush (2 feet),,,0,,,,,Butte,7 miles NWof Atomic City  ID,ID,700819,2010,FS,1,1,0,0,0,0,,,2010/07/17 17:48:00+00,,5,,25,25,,,490,,2010/07/13 19:00:00+00,194,143,2010/07/14 19:20:00+00,195,2010/07/14 19:20:00+00,195,94305,2010/07/14 19:20:00+00,195,1,"['FS', 'FS', 'FS', 'FS', 'FS']",FS,FS,100,[1474384],1,['ID4367911257020100713-JEFFERSON'],194,201,['Missing data/not specified/undetermined'],108855,"[{'ID': 1474384, 'MTBS_ID': 'ID4367911257020100713(JEFFERSON)', 'COORDS': (43.52969, -112.88078), 'CAUSE': 'Missing data/not specified/undetermined', 'SIZE': 108855.0, 'DISC': 194, 'CONT': 201.0}]","[(43.52969, -112.88078)]",1,1,1,1474384,43.52969,-112.88078,ID4367911257020100713(JEFFERSON),"(43.52969, -112.88078)",-112.880833,43.529722,ID,ID4367911257020100713,JEFFERSON,2010/07/13,2010,7,108542,894,0.823644303587551,0.604166666666667,2010-07-13,194,7,2010,2010-07-19,7,1664,357.192032365339,237.714285714286,51.0274331950484,1439,2,1265.61177884615,308.893830873631,0.429317346592955,271.67454535551,2010-07-15,-9078381.02399826,4848335.92210238,208498.722437566,88263.937157637,20278.062842363,0.4375,18.6822270110768,103060.606394119,30889.3830873631,35719.2032365339,86.4783653846154
"21",77955,16785,2010_ID-TFD-100249_LONG BUTTE,ID-TFD-100249,LONG BUTTE,WF,306113,L,false,2010/08/21 15:15:00+00,233,2010-08-30,0,"Dormant Brush, Hardwood Slash",,,2,,,,,Twin Falls,35  miles S of Glenns Ferry,ID,4225000,2010,FS,0,0,0,12,0,2,,,2010/09/03 17:00:00+00,,14,,150,,50,56,3987,9,2010/08/22 20:00:00+00,234,661,2010/08/25 19:00:00+00,237,2010/08/23 19:00:00+00,235,214000,2010/08/22 20:00:00+00,234,2,"['FS', 'FS', 'FS', 'FS', 'FS', 'FS', 'FS', 'FS', 'FS', 'FS', 'FS', 'FS', 'FS', 'FS']",FS,FS,100,[1474416],1,['ID4275711507020100821-LONG BUTTE'],233,245,['Natural'],306113,"[{'ID': 1474416, 'MTBS_ID': 'ID4275711507020100821(LONG BUTTE)', 'COORDS': (42.605, -115.5397), 'CAUSE': 'Natural', 'SIZE': 306113.0, 'DISC': 233, 'CONT': 245.0}]","[(42.605, -115.5397)]",1,1,1,1474416,42.605,-115.5397,ID4275711507020100821(LONG BUTTE),"(42.605, -115.5397)",-115.469167,42.621944,ID,ID4275711507020100821,LONG BUTTE,2010/08/21,2010,8,302546,3567,1.17899426864014,0.635416666666667,2010-08-07,219,8,2010,2010-09-13,38,3858,828.15316157781,101.526315789474,21.7935042520476,1406,1,1112.93157076205,301.810094654847,0.214658673296478,238.900414449547,2010-08-24,-9381850.85332405,4763086.38226125,556893.885266561,204640.786991685,97905.2130083152,14.46875,32.3604387459478,238377.192691711,30181.0094654847,82815.316157781,36.4437532400207
"22",84321,19847,2011_TX-TXS-011098_FRYING PAN RANCH,TX-TXS-011098,FRYING PAN RANCH,WF,80907,U,false,2011/04/14 13:30:00+00,104,,0,Tall Grass (2.5 feet),,,0,,,,,Andrews,25 miles WNW of Andrews,TX,277072,2011,FS,0,0,0,0,0,0,,,2011/04/20 17:00:00+00,,8,,50,,50,,22,,2011/04/14 14:20:00+00,104,8,2011/04/15 18:00:00+00,105,2011/04/15 18:00:00+00,105,70907,2011/04/15 18:00:00+00,105,1,"['FS', 'FS', 'FS', 'FS', 'FS', 'FS', 'FS', 'FS']",FS,FS,100,[201752827],1,['TX3238310102720110414-FRYING PAN RANCH'],104,,['Missing data/not specified/undetermined'],106027,"[{'ID': 201752827, 'MTBS_ID': 'TX3238310102720110414(FRYING PAN RANCH)', 'COORDS': (32.23739634, -102.91733640000001), 'CAUSE': 'Missing data/not specified/undetermined', 'SIZE': 106027.0, 'DISC': 104, 'CONT': 'unknown'}]","[(32.23739634, -102.91733640000001)]",1,1,1,201752827,32.23739634,-102.9173364,TX3238310102720110414(FRYING PAN RANCH),"(32.23739634, -102.91733640000001)",-101.0275,32.383333,TX,TX3238310102720110414,FRYING PAN RANCH,2011/04/14,2011,4,106253,25346,23.8543852879448,0.5625,2011-04-07,97,4,2011,2011-04-19,13,1853,397.762521618373,142.538461538462,30.5971170475671,1294,1,967.679978413384,277.768323245642,0.214658673296478,207.720900341781,2011-04-16,-9686247.30808289,3581638.95511506,285400.633381214,98289.107904508,7963.892095492,7.39583333333333,7.49521622494612,114717.322351387,27776.8323245642,39776.2521618373,69.8327037236914
"23",84460,19833,2011_TX-TXS-011080_ROCK HOUSE,TX-TXS-011080,ROCK HOUSE,WF,314444,H,false,2011/04/09 14:28:00+00,99,2011-05-12,0,Tall Grass (2.5 feet),,,2,,,,,Presidio,Near Fort Davis  Texas,TX,8399072,2011,FS,1,0,1,26,2,24,,,2011/05/12 17:00:00+00,,42,,480,30,350,61,8780,8,2011/04/29 18:00:00+00,119,520,2011/04/30 17:02:00+00,120,2011/04/28 16:00:00+00,118,84815,2011/04/13 16:30:00+00,103,19,"['FS', 'FS', 'FS', 'FS', 'FS', 'FS', 'FS', 'FS', 'FS', 'FS', 'FS', 'FS', 'FS', 'FS', 'FS', 'FS', 'FS', 'FS', 'FS', 'FS', 'FS', 'FS', 'FS', 'FS', 'FS', 'FS', 'FS', 'FS', 'FS', 'FS', 'FS', 'FS', 'FS', 'FS', 'FS', 'FS', 'FS', 'FS', 'FS', 'FS', 'FS', 'FS']",FS,FS,100,[201337611],1,['TX3031210406220110409-ROCK HOUSE'],99,132,['Missing data/not specified/undetermined'],314444,"[{'ID': 201337611, 'MTBS_ID': 'TX3031210406220110409(ROCK HOUSE)', 'COORDS': (30.84951667, -104.04602220000001), 'CAUSE': 'Missing data/not specified/undetermined', 'SIZE': 314444.0, 'DISC': 99, 'CONT': 132.0}]","[(30.84951667, -104.04602220000001)]",1,1,1,201337611,30.84951667,-104.0460222,TX3031210406220110409(ROCK HOUSE),"(30.84951667, -104.04602220000001)",-104.061944,30.311667,TX,TX3031210406220110409,ROCK HOUSE,2011/04/09,2011,4,299170,15274,5.10545843500351,0.602777777777778,2011-04-09,99,4,2011,2011-05-02,24,5384,1155.72229702824,224.333333333333,48.1550957095098,1299,1,630.763001485884,278.841616612124,0.214658673296478,135.398749063464,2011-04-11,-9920220.22992949,3432452.26039307,525372.620542655,285584.758207162,13585.241792838,0.436111111111111,4.54097730148009,332494.38079113,27884.1616612124,115572.229702824,24.1270430906389
"24",84621,19840,2011_TX-TXS-011088_COOPER MOUNTAIN RANCH,TX-TXS-011088,COOPER MOUNTAIN RANCH,WF,162625,L,false,2011/04/11 13:00:00+00,101,2011-04-22,0,Tall Grass (2.5 feet),,,0,,,,,Kent,15 miles NE of Snyder  TX,TX,1194159,2011,FS,0,0,0,0,0,0,,,2011/04/23 20:00:00+00,,17,,1120,20,700,8,854,2,2011/04/14 19:45:00+00,104,169,2011/04/14 19:45:00+00,104,2011/04/17 18:00:00+00,107,99000,2011/04/15 20:30:00+00,105,6,"['FS', 'FS', 'FS', 'FS', 'FS', 'FS', 'FS', 'FS', 'FS', 'FS', 'FS', 'FS', 'FS', 'FS', 'FS', 'FS', 'FS']",FS,FS,100,[201337639],1,['TX3298710081820110411-COOPER MOUNTAIN RANCH'],101,111,['Natural'],162625,"[{'ID': 201337639, 'MTBS_ID': 'TX3298710081820110411(COOPER MOUNTAIN RANCH)', 'COORDS': (32.98708333, -100.81845), 'CAUSE': 'Natural', 'SIZE': 162625.0, 'DISC': 101, 'CONT': 111.0}]","[(32.98708333, -100.81845)]",1,1,1,201337639,32.98708333,-100.81845,TX3298710081820110411(COOPER MOUNTAIN RANCH),"(32.98708333, -100.81845)",-100.818333,32.987222,TX,TX3298710081820110411,COOPER MOUNTAIN RANCH,2011/04/11,2011,4,157855,4770,3.02176047638656,0.541666666666667,2011-04-13,103,4,2011,2011-04-25,13,2833,608.128021448921,217.923076923077,46.7790785729939,1862,1,1322.29474055771,399.694449678041,0.214658673296478,283.842034715029,2011-04-16,-9397603.485686,3660865.42964133,302958.516609211,150271.474740136,7583.5252598644,1.625,4.80410836518602,175159.553240922,39969.4449678041,60812.8021448921,65.7253794564066
"25",84682,19871,2011_TX-TXS-011125_DEATON COLE,TX-TXS-011125,DEATON COLE,WF,175000,U,false,2011/04/25 14:00:00+00,115,,0,Tall Grass (2.5 feet),,,0,,,,,"VAL VERDE, CROCKETT",37 MILES SSW OF OZONA  TX,TX,2500,2011,FS,0,0,0,1,0,0,,,2011/05/11 19:00:00+00,,20,,18,12,6,34,1804,4,2011/04/29 20:30:00+00,119,215,2011/05/03 17:30:00+00,123,2011/05/01 18:00:00+00,121,88000,2011/04/29 20:30:00+00,119,6,"['FS', 'FS', 'FS', 'FS', 'FS', 'FS', 'FS', 'FS', 'FS', 'FS', 'FS', 'FS', 'FS', 'FS', 'FS', 'FS', 'FS', 'FS', 'FS', 'FS']",FS,FS,100,[201337815],1,['TX3016310124720110425-DEATON COLE'],115,129,['Missing data/not specified/undetermined'],175000,"[{'ID': 201337815, 'MTBS_ID': 'TX3016310124720110425(DEATON COLE)', 'COORDS': (30.1635, -101.24716670000001), 'CAUSE': 'Missing data/not specified/undetermined', 'SIZE': 175000.0, 'DISC': 115, 'CONT': 129.0}]","[(30.1635, -101.24716670000001)]",1,1,1,201337815,30.1635,-101.2471667,TX3016310124720110425(DEATON COLE),"(30.1635, -101.24716670000001)",-101.247222,30.163333,TX,TX3016310124720110425,DEATON COLE,2011/04/25,2011,4,167598,7402,4.41652048353799,0.583333333333333,2011-04-14,104,4,2011,2011-05-07,24,2858,613.494488281333,119.083333333333,25.5622703450555,1028,1,548.102869139258,220.669116148779,0.214658673296478,117.655034719426,2011-04-30,-9725628.88898776,3374074.85811055,521634.118810443,151597.555526759,16000.4444732413,11.4166666666667,9.54691850334806,176701.446886063,22066.9116148779,61349.4488281333,35.9692092372288
